ref_state_id,state_name,ref_district_id,district_name,cattle,buffalo,sheep,goat,horse,pony,mule,donkey,camel,pig,...15,Total_poultry
16,Tripura,289,West Tripura,89499,263,683,38248,0,0,0,0,0,23691,,603293
16,Tripura,290,South Tripura,125692,178,286,59273,1,0,0,0,0,24463,,657751
16,Tripura,291,Dhalai,90679,958,485,54263,1,0,0,0,0,50504,,487262
16,Tripura,292,North Tripura,77278,1136,1870,37027,2,1,2,0,0,20860,,305288
16,Tripura,671,Gomati,101284,668,786,52704,2,0,0,1,2,30034,,633662
16,Tripura,673,Khowai,67060,87,202,36822,0,0,0,0,0,21496,,384523
16,Tripura,681,Sepahijala,125849,233,519,50108,2,2,0,9,0,26514,,820307
16,Tripura,687,Unakoti,61690,3608,629,31759,5,1,0,0,0,8473,,276160
